,DateTime,Open,High,Low,Close,IO
,2023-09-06 14:15:00+05:30,45084.6,45177.0,45084.6,45162.55,3330,40785
,2023-09-06 15:15:00+05:30,45162.55,45210.0,45150.0,45210.0,3195,41790
,2023-09-07 09:15:00+05:30,45193.55,45200.0,45077.65,45151.55,2700,43230
,2023-09-07 10:15:00+05:30,45151.55,45381.8,45151.55,45381.8,9210,49005
,2023-09-07 11:15:00+05:30,45381.8,45391.0,45150.05,45177.0,3090,50265
,2023-09-07 12:15:00+05:30,45177.0,45203.55,45130.0,45174.7,2310,50685
,2023-09-07 13:15:00+05:30,45174.7,45350.0,45174.7,45338.95,2580,51330
,2023-09-07 14:15:00+05:30,45338.95,45599.75,45338.95,45573.55,16605,57510
,2023-09-07 15:15:00+05:30,45573.55,45573.55,45510.0,45550.0,1680,57780
,2023-09-08 09:15:00+05:30,45583.5,45682.0,45553.85,45625.0,6000,60885
,2023-09-08 10:15:00+05:30,45625.0,45630.0,45510.0,45580.0,6165,64830
,2023-09-08 11:15:00+05:30,45580.0,45849.85,45577.45,45833.55,8115,69060
,2023-09-08 12:15:00+05:30,45833.55,45887.95,45785.0,45809.4,3615,69900
,2023-09-08 13:15:00+05:30,45809.4,45895.8,45707.0,45889.2,4830,71805
,2023-09-08 14:15:00+05:30,45889.2,46060.0,45776.0,45795.25,8340,73800
,2023-09-08 15:15:00+05:30,45795.25,45880.0,45795.25,45847.45,1560,73755
,2023-09-11 09:15:00+05:30,45847.45,46111.0,45847.45,46058.25,6000,75660
,2023-09-11 10:15:00+05:30,46058.25,46088.8,45969.45,45990.5,5940,79755
,2023-09-11 11:15:00+05:30,45990.5,46120.0,45990.5,46061.15,4395,82320
,2023-09-11 12:15:00+05:30,46061.15,46138.6,46061.15,46087.55,870,82470
,2023-09-11 13:15:00+05:30,46087.55,46141.0,46070.0,46128.95,1785,82500
,2023-09-11 14:15:00+05:30,46128.95,46200.0,46115.0,46177.15,4245,84285
,2023-09-11 15:15:00+05:30,46177.15,46271.0,46177.05,46271.0,2055,85080
,2023-09-12 09:15:00+05:30,46321.65,46415.0,46029.7,46180.0,11850,86385
,2023-09-12 10:15:00+05:30,46180.0,46230.6,46078.45,46227.0,5445,87270
,2023-09-12 11:15:00+05:30,46227.0,46240.0,46195.6,46210.0,810,87465
,2023-09-12 12:15:00+05:30,46210.0,46223.85,45950.0,46050.0,7740,88110
,2023-09-12 13:15:00+05:30,46050.0,46212.1,46013.9,46161.25,5070,89370
,2023-09-12 14:15:00+05:30,46159.15,46180.0,46096.35,46121.5,1500,89835
,2023-09-12 15:15:00+05:30,46121.5,46185.0,46121.5,46155.0,1380,90435
,2023-09-13 09:15:00+05:30,46096.0,46137.0,45982.7,46033.2,5505,91890
,2023-09-13 10:15:00+05:30,46033.2,46260.0,46030.65,46260.0,2940,91755
,2023-09-13 11:15:00+05:30,46260.0,46361.0,46230.25,46334.6,7095,94485
,2023-09-13 12:15:00+05:30,46334.6,46485.0,46300.0,46455.1,9585,95130
,2023-09-13 13:15:00+05:30,46455.1,46503.1,46400.0,46478.0,8430,95490
,2023-09-13 14:15:00+05:30,46478.0,46539.8,46450.0,46500.0,5145,96180
,2023-09-13 15:15:00+05:30,46500.0,46511.05,46475.4,46495.0,1455,96330
,2023-09-14 09:15:00+05:30,46580.0,46704.3,46456.5,46513.5,11265,97695
,2023-09-14 10:15:00+05:30,46513.5,46609.05,46424.6,46572.75,3885,98220
,2023-09-14 11:15:00+05:30,46572.75,46590.0,46487.45,46575.0,2790,98730
,2023-09-14 12:15:00+05:30,46575.0,46588.0,46412.0,46549.95,3150,99330
,2023-09-14 13:15:00+05:30,46549.95,46580.0,46410.0,46444.65,1890,99705
,2023-09-14 14:15:00+05:30,46444.65,46647.6,46444.65,46604.8,3045,99705
,2023-09-14 15:15:00+05:30,46604.8,46630.0,46600.0,46606.45,1830,99690
,2023-09-15 09:15:00+05:30,46709.05,46725.0,46626.25,46668.0,7125,99945
,2023-09-15 10:15:00+05:30,46668.0,46841.95,46650.8,46820.0,9060,103965
,2023-09-15 11:15:00+05:30,46820.0,46857.7,46778.7,46830.0,7710,104895
,2023-09-15 12:15:00+05:30,46830.0,46830.0,46624.95,46703.75,5070,105510
,2023-09-15 13:15:00+05:30,46703.75,46795.05,46686.1,46786.8,1620,105090
,2023-09-15 14:15:00+05:30,46786.8,46842.0,46759.95,46785.35,4410,105165
,2023-09-15 15:15:00+05:30,46785.35,46799.0,46760.0,46760.0,855,105135
,2023-09-18 09:15:00+05:30,46695.15,46760.0,46649.95,46725.0,7830,107280
,2023-09-18 10:15:00+05:30,46725.0,46730.0,46680.0,46722.0,1335,107775
,2023-09-18 11:15:00+05:30,46722.0,46797.9,46690.0,46690.0,2760,108030
,2023-09-18 12:15:00+05:30,46680.0,46725.0,46663.05,46703.65,2040,108690
,2023-09-18 13:15:00+05:30,46703.65,46724.3,46659.85,46670.0,2055,108570
,2023-09-18 14:15:00+05:30,46670.0,46714.05,46542.5,46550.0,5850,108675
,2023-09-18 15:15:00+05:30,46540.15,46605.0,46508.8,46550.0,4620,108255
,2023-09-20 09:15:00+05:30,46295.15,46374.15,46220.0,46220.0,20910,114345
,2023-09-20 10:15:00+05:30,46220.0,46251.7,46090.7,46105.0,12315,120000
,2023-09-20 11:15:00+05:30,46105.0,46143.9,46075.0,46124.4,6840,120480
,2023-09-20 12:15:00+05:30,46124.4,46189.95,46090.0,46102.45,3375,120885
,2023-09-20 13:15:00+05:30,46102.45,46119.25,46020.0,46106.2,6480,123660
,2023-09-20 14:15:00+05:30,46106.2,46140.0,46040.0,46115.0,5805,126705
,2023-09-20 15:15:00+05:30,46115.0,46169.95,46101.4,46165.0,2340,127260
,2023-09-21 09:15:00+05:30,46001.0,46001.0,45715.0,45759.5,11475,131265
,2023-09-21 10:15:00+05:30,45759.5,45855.9,45715.0,45830.0,7275,133500
,2023-09-21 11:15:00+05:30,45830.0,45830.0,45580.0,45603.9,12075,135645
,2023-09-21 12:15:00+05:30,45603.9,45620.0,45425.0,45504.75,9180,138405
,2023-09-21 13:15:00+05:30,45504.75,45525.4,45380.0,45396.8,7425,139815
,2023-09-21 14:15:00+05:30,45396.8,45440.0,45326.95,45373.65,7980,141660
,2023-09-21 15:15:00+05:30,45373.65,45415.0,45292.0,45292.0,4605,142350
,2023-09-22 09:15:00+05:30,45439.2,45614.75,45000.1,45333.45,20715,142410
,2023-09-22 10:15:00+05:30,45333.45,45682.3,45285.55,45600.0,9900,142290
,2023-09-22 11:15:00+05:30,45600.0,45656.0,45500.05,45614.0,3105,142695
,2023-09-22 12:15:00+05:30,45614.0,45646.85,45518.0,45563.15,2610,142500
,2023-09-22 13:15:00+05:30,45563.15,45563.2,45301.1,45400.95,6210,143520
,2023-09-22 14:15:00+05:30,45400.95,45445.0,45231.4,45245.1,9150,145455
,2023-09-22 15:15:00+05:30,45245.1,45311.0,45245.1,45311.0,3930,145830
,2023-09-25 09:15:00+05:30,45394.6,45394.6,45122.35,45124.6,14370,145905
,2023-09-25 10:15:00+05:30,45124.6,45221.9,45100.0,45120.0,6675,147090
,2023-09-25 11:15:00+05:30,45120.0,45310.0,45105.0,45271.2,7005,147480
,2023-09-25 12:15:00+05:30,45271.2,45525.0,45271.2,45483.1,12060,144705
